id,name,league_id,created_at,updated_at
153,Barrow,9,2011-10-14 16:30:45.977446,2011-10-14 16:51:23.294678
154,Bradford Park Avenue,10,2011-10-14 16:36:00.718754,2012-07-30 07:15:05.917086
155,Worksop Town,24,2011-10-14 16:36:11.035335,2011-10-14 16:36:11.035335
156,Greenock Morton,30,2011-10-14 16:39:52.678919,2011-10-14 16:41:17.245331
157,Clyde,30,2011-10-14 16:41:39.150685,2011-10-14 16:43:40.00402
158,Motherwell,16,2011-10-14 16:41:49.246683,2011-10-14 16:41:49.246683
159,Maribor,25,2011-10-14 16:43:53.60132,2011-10-14 16:43:53.60132
160,Fleetwood Town,8,2011-10-14 16:46:42.148408,2012-07-30 06:30:41.464802
161,Gateshead,9,2011-10-14 16:49:29.84804,2011-10-14 16:49:29.84804
162,Dorking FC,31,2011-10-14 16:54:40.994917,2011-10-14 16:54:40.994917
163,Windsor FC,31,2011-10-14 16:55:04.281195,2011-10-14 16:56:39.359358
164,Aveley,32,2011-10-14 16:57:28.888179,2011-10-14 16:59:11.537949
165,Concord Rangers,32,2011-10-14 16:57:46.331293,2011-10-14 16:57:46.331293
166,Weymouth,21,2011-10-14 17:01:56.39858,2011-10-14 17:03:49.898432
167,Barwell,21,2011-10-14 17:02:09.17688,2011-10-14 17:02:09.17688
168,Derry City,27,2011-10-31 08:45:58.796398,2011-10-31 08:50:26.985629
169,Bohemians,27,2011-10-31 08:46:14.767894,2011-10-31 08:46:14.767894
170,Portadown,28,2011-10-31 08:46:49.478844,2011-10-31 08:54:16.491326
171,Shelbourne,27,2011-10-31 08:47:41.380583,2011-10-31 08:56:31.148183
172,Cork City,27,2011-10-31 08:47:51.678713,2011-10-31 08:47:51.678713
173,Folkestone Invicta,33,2011-12-27 09:04:17.541949,2011-12-27 09:06:44.086155
174,Hythe Town,33,2011-12-27 09:04:29.100262,2011-12-27 09:04:29.100262
175,Dover Athletic,11,2011-12-27 09:04:45.678784,2011-12-27 09:07:58.892755
177,Gresley FC,34,2012-03-14 17:16:53.175599,2012-03-14 17:21:07.111494
178,Stratford Town,34,2012-03-14 17:18:00.262511,2012-03-14 17:18:00.262511
179,Stratford Town,34,2012-03-14 17:18:05.157917,2012-03-14 17:18:05.157917
180,Hitchin Town,35,2012-03-14 17:25:34.293056,2012-03-14 17:28:01.130161
